% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1101558, Tue Mar 13 16:10:53 2018
1 12 -0.0355242426857 -0.000220267269678 4.07992953219e-07 0.0593600250979 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 24 -0.0575354601629 -4.92520860105e-05 0.000218894716668 0.070829181225 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 36 -0.0834375169147 -0.000317726718619 0.000684170851348 0.0709158832269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 48 -0.0995285375891 -2.59570040097e-05 0.000648282355303 0.121313550294 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 60 -0.121772862504 -0.000619156273128 0.00102217053534 0.149356272883 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 72 -0.132467165766 -0.000388596976883 0.00213026812885 0.145497839502 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 84 -0.162485710778 -0.000500337361137 0.000831191820899 0.158938630555 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 96 -0.167137713054 -0.00154363952614 0.00236978285515 0.14839656701 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 108 -0.184846990985 -0.000543769159494 0.00125885909461 0.154998139174 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 120 -0.20129458509 -0.00100287580451 0.000574935532761 0.149447170799 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 132 -0.215688621638 -0.00119095590555 0.000167813072894 0.156108840229 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 144 -0.204439211906 -0.00389063249832 0.00112637818398 0.140398905309 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13 156 -0.204745471063 -0.00040639354367 0.000269085498977 0.153943394439 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 168 -0.209286113463 -0.000128145065467 0.0041129168905 0.138098211851 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15 180 -0.218572779044 -0.000380178377847 0.00338167522327 0.140034960087 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16 192 -0.227819203135 -0.00179983586856 0.000642054935287 0.127338265058 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
