% # columns="iteration, evaluation, void, void, void, xmean", seed=1522229849, Wed Mar 28 11:38:37 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 1.396859111781223 0.9459947700571957
2 12 0 0 0 2.0689028258232316 1.6472355215021426
3 18 0 0 0 1.9173136677952165 1.8780734158060826
4 24 0 0 0 1.8361043107177402 1.9858103737446293
5 30 0 0 0 2.243836200990977 2.13859934989196
6 36 0 0 0 2.027676170115936 1.9931935023674672
7 42 0 0 0 2.011778196849437 2.1075312385596803
8 48 0 0 0 1.9951100568993545 2.018203728422842
9 54 0 0 0 2.058901011737566 2.0110204340332243
10 60 0 0 0 2.007971349977264 1.963750914893594
11 66 0 0 0 1.9789147201220725 2.0008017424572895
12 72 0 0 0 1.9880429191275262 2.013114355303788
13 78 0 0 0 2.0073357213524 2.018189892449382
14 84 0 0 0 2.015030110672739 2.0244706527519627
15 90 0 0 0 2.0123632483080147 2.018569641749765
16 96 0 0 0 1.9957764425866062 2.015194739697883
17 102 0 0 0 2.00007307656655 2.0100803562955902
18 108 0 0 0 1.9993908199023125 2.00578188548512
19 114 0 0 0 2.0010027572298505 1.992443009876936
20 120 0 0 0 1.9991828693497937 1.9955641485364484
21 126 0 0 0 1.9957726909296696 2.0034360198129297
22 132 0 0 0 2.001263476000708 2.0071477661697767
23 138 0 0 0 1.9956472840806216 1.9989740804408123
24 144 0 0 0 1.9946528742145297 1.99585129024526
25 150 0 0 0 1.9952487243155992 1.9989894415665495
26 156 0 0 0 1.995655115842327 2.001704425229993
27 162 0 0 0 1.9999987163035542 2.000811941879536
28 168 0 0 0 1.9993014797898996 1.9997688118711774
29 174 0 0 0 1.9994351854359174 1.999935027202874
30 180 0 0 0 2.0006329542678 2.000162296720434
31 186 0 0 0 2.00056374408628 1.9999252034854769
32 192 0 0 0 2.0002429911954627 1.999636852562955
33 198 0 0 0 1.999846484267858 1.9995337982610373
34 204 0 0 0 2.0002195306577097 2.0001322745874504
35 210 0 0 0 1.9998166808564797 1.999890273245767
36 216 0 0 0 1.9996652612611214 2.0001279159830974
37 222 0 0 0 1.9999424507963601 2.000143671473344
38 228 0 0 0 1.9999292319585946 1.9999739027147496
39 234 0 0 0 1.9999419271310828 1.9999605858084222
40 240 0 0 0 2.000081443778185 1.99994555704577
41 246 0 0 0 1.9999778886785307 1.999979699960851
42 252 0 0 0 2.0000039519410513 2.0000042172398236
43 258 0 0 0 1.9999417373141022 1.9999890847034214
44 264 0 0 0 1.9999483043429465 1.9999804263255903
45 270 0 0 0 1.9999920692990643 1.999998376931673
46 276 0 0 0 2.0000088716867572 1.9999995013530583
47 282 0 0 0 1.9999837714239632 2.000017683924103
48 288 0 0 0 2.000007285600497 1.999997385719885
49 294 0 0 0 2.0000040148190217 1.9999990223307693
50 300 0 0 0 1.9999976407673974 1.9999999531513797
51 306 0 0 0 1.9999963857658578 2.00000136895073
52 312 0 0 0 1.9999977021431645 2.0000001387407815
53 318 0 0 0 1.9999976692838692 1.999995353532111
54 324 0 0 0 1.9999970520587467 1.99999885747667
55 330 0 0 0 1.9999988378277085 1.99999968064774
56 336 0 0 0 1.9999986688879345 1.999999858589574
57 342 0 0 0 1.9999997020595468 2.000000506709361
58 348 0 0 0 2.000000230385515 2.0000005233956983
59 354 0 0 0 2.0000003687474064 1.9999996789782308
60 360 0 0 0 2.0000002102890946 2.0000000195222505
61 366 0 0 0 1.9999999272364972 2.0000001042701667
62 372 0 0 0 1.9999997801087113 1.999999814043208
63 378 0 0 0 1.9999998332334978 1.9999999930513777
64 384 0 0 0 1.9999999990236603 1.999999950740881
65 390 0 0 0 1.9999998990680532 2.000000064961446
66 396 0 0 0 1.9999999502103432 1.9999999997930946
67 402 0 0 0 1.9999999494153866 2.000000028627474
68 408 0 0 0 1.9999999899218395 2.0000000116019714
69 414 0 0 0 2.000000002130398 2.000000003928608
70 420 0 0 0 2.000000004658846 1.9999999931336614
71 426 0 0 0 2.000000005278041 2.0000000076908844
72 432 0 0 0 1.9999999984464742 2.0000000040094585
73 438 0 0 0 1.9999999939258672 2.0000000018737185
74 444 0 0 0 1.9999999997978033 1.9999999996070097
